Title,URL,Text,Tag,Author,Date
Life-Enhancing Ideas from Alex Epstein’s Human Flourishing Project,https://theobjectivestandard.com/2019/09/life-enhancing-ideas-from-alex-epsteins-human-flourishing-project/,Alex Epstein’s Human Flourishing Project is loaded with life-enhancing ideas. Here’s a resource to help you retain and implement them.,"Good Living, Philosophy",Jon Hersey,"September 17, 2019"
The Rediscovery of America: Essays by Harry V. Jaffa on the New Birth of Politics,https://theobjectivestandard.com/2019/09/the-rediscovery-of-america-essays-by-harry-v-jaffa-on-the-new-birth-of-politics/,"For all of his errors, Jaffa's insistence that the truths of the Declaration are not historical artifacts but timeless principles worthy of defending will make his best work last forever.","History, Politics & Rights, Reviews",Timothy Sandefur,"September 17, 2019"
The Great British Baking Show’s Wonderful Sense of Life,https://theobjectivestandard.com/2019/09/the-great-british-baking-shows-wonderful-sense-of-life/,"If you’ve been searching for a highly entertaining, heartwarming show that demonstrates how it’s possible for people to pursue their greatest passions while having fun and respecting their competitors—even when someone has to “lose”—look no further.",Arts & Culture,Tim White,"September 17, 2019"
Three Masters of Watercolor,https://theobjectivestandard.com/2019/09/three-masters-of-watercolor/,"Carolyn Brady, Paul Jackson, and Steve Hanks introduced a new dimension into watercolor, demonstrating that what some think is an art of mere sketches and impressions is capable of the most staggering emotional impact.",Arts & Culture,Timothy Sandefur,"September 11, 2019"
Obscure Manuscript Further Reveals John Locke’s Intellectual Honesty,https://theobjectivestandard.com/2019/09/obscure-manuscript-further-reveals-john-lockes-intellectual-honesty/,Locke’s intellectual honesty was the root of all of his achievements—and it’s on display in his newly uncovered “Reasons for Tolerateing Papists.”,"History, Philosophy, Politics & Rights",Jon Hersey,"September 11, 2019"
Alex Epstein’s What’s the Deal With the Green New Deal?,https://theobjectivestandard.com/2019/09/alex-epsteins-whats-the-deal-with-the-green-new-deal/,Alex Epstein’s “What’s the Deal With the Green New Deal?” elucidates complex issues surrounding the Green New Deal and makes clear how we ought to respond to it.,"Politics & Rights, Science & Technology",Helen Hamann,"September 11, 2019"
Scholarship Available to Study Objectivism,https://theobjectivestandard.com/2019/09/scholarships-available-to-study-objectivism/,"If you have a degree related to philosophy, politics, or economics and would love to study Ayn Rand’s ideas in greater depth, you could win a scholarship to do so.","Announcements, Ayn Rand & Objectivism",Jon Hersey,"September 9, 2019"
Humor and Being Human,https://theobjectivestandard.com/2019/09/humor-and-being-human/,"If Hurley, Dennett, and Adams are right, they’ve taken a substantial step in explaining why laughter is among the loveliest manifestations of what it means to be human.",Arts & Culture,Timothy Sandefur,"September 5, 2019"
‘Awesome without Allah’: Helping Muslims Leave Islam,https://theobjectivestandard.com/2019/09/awesome-without-allah-helping-muslims-leave-islam/,"Ditching Islam is a necessary step toward a truly human life for millions of Muslims all over the world, and Ex-Muslims of North America is helping many to take that step.","Arts & Culture, Philosophy",Jon Hersey,"September 5, 2019"
John Fogerty’s Disciplined Focus,https://theobjectivestandard.com/2019/08/john-fogertys-disciplined-focus/,"For all its apparent simplicity, Creedence Clearwater Revival’s music resonates because of the precision with which it was written, the discipline with which it was performed, and the bold and joyous spirit it evokes in its fans.","Arts & Culture, History",Timothy Sandefur,"August 30, 2019"
One Girl One Dream by Laura Dekker,https://theobjectivestandard.com/2019/08/one-girl-one-dream-by-laura-dekker/,"When Laura Dekker successfully sailed around the world alone at the age of sixteen, she became the youngest person ever to do so—and a source of inspiration for millions of others with lofty dreams.",Reviews,Tim White,"August 30, 2019"
Charles Sumner’s Principled Attack on Slavery,https://theobjectivestandard.com/2019/08/charles-sumners-principled-attack-on-slavery/,"At a time when Americans are once again debating the history of slavery, we must never forget the legacy of Charles Sumner.","History, Politics & Rights",Timothy Sandefur,"August 26, 2019"
"From the Editor, Fall 2019",https://theobjectivestandard.com/2019/08/from-the-editor-fall-2019/,"Check out the Fall 2019 issue of the journal for people of reason—and be sure to share it with friends. Amid the rampant irrationality in today’s culture, this oasis can save souls, even lives.",Announcements,Craig Biddle,"August 21, 2019"
John Locke: The Father of Liberalism,https://theobjectivestandard.com/2019/08/john-locke-the-father-of-liberalism/,"Those who built America—the freest and most moral country on earth—stood on the shoulders of John Locke. We who fight for individual rights and freedom today stand on his shoulders, too.","Biographies, History, Philosophy, Politics & Rights",Jon Hersey,"August 21, 2019"
Seven Great Poems on the Glory of Man,https://theobjectivestandard.com/2019/08/seven-great-poems-on-the-glory-of-man/,"Enjoy these poems celebrating the glory of man—including works by Charles Eugene Banks, George Washington Doane, Berton Braley, Quent Cordair, and more.",Arts & Culture,Various Authors,"August 21, 2019"
TOS-Con Video: “Intellectual Independence: Your Basic Means of Thriving”,https://theobjectivestandard.com/2019/08/tos-con-video-intellectual-independence-your-basic-means-of-thriving/,"On the nature of intellectual independence, how it differs from independent thinking, and how to cultivate it so you can love your life to the fullest.","Announcements, Ayn Rand & Objectivism, Philosophy",Craig Biddle,"August 16, 2019"
"Supporters of Freedom and Flourishing, Thank You!",https://theobjectivestandard.com/2019/08/supporters-of-freedom-and-flourishing-thank-you/,"TOS-Con 2019 was a truly extraordinary growth experience for me, and from what I’ve heard, for many others. Thank you to all who attended and who made it possible. I look forward to seeing you at TOS-Con 2020!",Announcements,Jon Hersey,"August 16, 2019"
McCartan Delighted in the Sensual World,https://theobjectivestandard.com/2019/08/mccartan-delighted-in-the-sensual-world/,"High above Park Avenue—and in a few scattered museums—McCartan’s art still remains, an expression of delight in the sensual world.",Arts & Culture,Timothy Sandefur,"August 15, 2019"
The Man Who Electrified Music,https://theobjectivestandard.com/2019/08/the-man-who-electrified-music/,"Though he never sought the spotlight nor learned to play guitar, Leo Fender’s creations, including the Telecaster, Precision Bass, and Stratocaster, opened the door for countless young players—and for a revolution in music.","Arts & Culture, History",Jon Hersey,"August 10, 2019"
The Battle for Values in American Westerns,https://theobjectivestandard.com/2019/08/the-battle-for-values-in-american-westerns/,"Westerns were a medium through which writers and directors explored profound philosophical themes, in which Hollywood articulated ideas in ways it’s seldom attempted since.",Arts & Culture,Timothy Sandefur,"August 1, 2019"
Alt-Education Is Filling a Void that Colleges Can’t,https://theobjectivestandard.com/2019/08/alt-education-is-filling-a-void-that-colleges-cant/,"Thanks to innovators in the fields of education and career development, many viable alternatives to college provide far more bang for the buck.",Education & Parenting,Lolita Allgyer,"August 1, 2019"
7 days till the most life-enhancing conference of the year!,https://theobjectivestandard.com/2019/07/7-days-till-the-most-life-enhancing-conference-of-the-year/,"Join these amazing speakers and hundreds of like-minded, life-loving people in Park City, Utah, for this once-in-a-lifetime event. Register now!",Announcements,Craig Biddle,"July 31, 2019"
How I Avoided the Struggles of Most Young Gay People,https://theobjectivestandard.com/2019/07/how-i-avoided-the-struggles-of-most-young-gay-people/,"In addition to their understanding and support, my parents armed me (perhaps inadvertently) with a powerful tool that helped me to defuse the kinds of worries that often torment young gay people.","Ayn Rand & Objectivism, Good Living",Stewart Margolis,"July 27, 2019"
Loving Life Is Now Available on Audible,https://theobjectivestandard.com/2019/07/loving-life-is-now-available-on-audible/,Loving Life not only to introduces people to rational egoism; it also helps advocates of the morality to convey its principles more clearly.,"Announcements, Ayn Rand & Objectivism",Craig Biddle,"July 26, 2019"
New Book—Rational Egoism: The Morality for Human Flourishing,https://theobjectivestandard.com/2019/07/new-book-rational-egoism-the-morality-for-human-flourishing/,Pick up a copy for yourself and share copies with friends. It sheds much light and will generate fruitful conversations.,"Announcements, Ayn Rand & Objectivism",Craig Biddle,"July 26, 2019"
A Heartfelt Letter from Young Intellectuals,https://theobjectivestandard.com/2019/07/a-heartfelt-letter-from-young-intellectuals/,These are exactly the kind of people TOS seeks to reach—and does reach—people who demand that ideas make rational sense.,"Announcements, Ayn Rand & Objectivism",Craig Biddle,"July 26, 2019"
Entrepreneurs in Space,https://theobjectivestandard.com/2019/07/entrepreneurs-in-space/,"New frontiers typically have been explored and tamed, not by government entities but by entrepreneurs who, thanks to the profit motive, have found more efficient and sustainable pathways to discovery and innovation. There’s no reason why the final frontier can’t be settled the same way.","Politics & Rights, Science & Technology",Timothy Sandefur,"July 26, 2019"
Linda Cordair on the Value of Art,https://theobjectivestandard.com/2019/07/linda-cordair-on-the-value-of-art/,"TOS-Con 2019 is almost here! Linda Cordair, co-owner of Quent Cordair Fine Art in Napa, CA, will be speaking on “Finding Joy and Inspiration in Visual Art.”","Arts & Culture, Good Living, LevelUp News",Tim White,"July 18, 2019"
Zora Neale Hurston Put Nothing above Independence,https://theobjectivestandard.com/2019/07/zora-neale-hurston-put-nothing-above-independence/,"“I do not share the gloomy thought that Negroes in America are doomed to be stomped out,” wrote Zora Neale Hurston.  “We will go where the internal drive carries us like everybody else. It is up to the individual.”","Arts & Culture, History",Timothy Sandefur,"July 18, 2019"
Announcing Winners of Ayn Rand Scholarships to TOS-Con,https://theobjectivestandard.com/2019/07/announcing-winners-of-ayn-rand-scholarships-to-tos-con/,Congratulations to all of these winners!,Announcements,Craig Biddle,"July 15, 2019"
Regarding Carl Barney and Scientology,https://theobjectivestandard.com/2019/07/regarding-carl-barney-and-scientology/,Many people subscribe to bad ideas or systems of thought in their youth and later repudiate them and adopt better ones. Some even discover and embrace Objectivism.,"Ayn Rand & Objectivism, Good Living",Craig Biddle,"July 15, 2019"
A Powerful Passage from Ayn Rand,https://theobjectivestandard.com/2019/07/a-powerful-passage-from-ayn-rand/,You and I have lived in relative freedom. But future generations may or may not. That depends in large part on what we do today. Here’s a way...,"Announcements, Ayn Rand & Objectivism, Politics & Rights",Craig Biddle,"July 12, 2019"
Important Announcements about TOS-Con 2019,https://theobjectivestandard.com/2019/07/important-announcements-about-tos-con-2019/,"Patrick Reasonover will lead a workshop on producing films, hotel discounts have been extended to July 15, TOS-Con will be three soul-fueling days of all-out fun!",Announcements,Craig Biddle,"July 12, 2019"
John Milton’s Lovers in Paradise,https://theobjectivestandard.com/2019/07/john-miltons-lovers-in-paradise/,"John Milton was a great poet, but he has such a daunting reputation for solemnity that few people read him for pleasure. That’s unfortunate because it deprives potential readers of experience with his brilliant writing.",Arts & Culture,Timothy Sandefur,"July 11, 2019"
“Pimpernel” Smith (1941),https://theobjectivestandard.com/2019/07/pimpernel-smith-1941/,"“The mind of man is bounded only by the universe.” If you do not recognize this quote, you are about to discover one of the most exciting and entertaining examples of Romantic art in movie history.","Arts & Culture, Reviews",Arie Vilner,"July 11, 2019"
The Enigma Code Breakers Who Saved the World,https://theobjectivestandard.com/2019/07/the-enigma-code-breakers-who-saved-the-world/,"Rejewski, Rózycki, Zygalski, Turing, Knox, and other Bletchley Park code breakers used their brains to defeat the brawn of one of the biggest ideological threats to human life in the 20th century.",History,Tim White,"July 8, 2019"
TOS-Con Is Filling Up Fast—Join the Fun!,https://theobjectivestandard.com/2019/07/tos-con-is-filling-up-fast-join-the-fun/,"Join us in Park City, UT, this August 7–10 for the most life-enhancing conference of the year! Book your hotel room by July 9 for our discounted rate.",Announcements,Craig Biddle,"July 6, 2019"
Washington Crossing the Delaware: A Beacon of the American Spirit,https://theobjectivestandard.com/2019/07/washington-crossing-the-delaware-a-beacon-of-the-american-spirit/,"“This is a picture,” reads one description of Emmanuel Leutze‘s masterpiece, “by the sight of which, in this weary and exhausted time, one can recover health and strength. . . . [It] has power to work upon the hearts, and inflame the spirits of all that behold it.”","Arts & Culture, History, Politics & Rights",Joseph Kellard,"July 4, 2019"
"Announcing Winners of TOS-Con’s “Think, Strive, Thrive” and “Liberty & Prosperity” Scholarships",https://theobjectivestandard.com/2019/07/announcing-winners-of-tos-cons-think-strive-thrive-and-liberty-prosperity-scholarships/,Announcing winners of the TST and LP scholarships to TOS-Con 2019: Philosophy for Freedom and Flourishing—and more available scholarships for students and young adults!,Announcements,Craig Biddle,"July 1, 2019"
Will you help TOS advance your values?,https://theobjectivestandard.com/2019/06/will-you-help-tos-advance-your-values/,"If you appreciate what TOS does and want us to continue our important work, consider making a selfish donation. In exchange, we promise to continue creating a constant stream of crystal-clear, life-serving articles that advance your values and improve your world.",Announcements,Craig Biddle,"June 28, 2019"
Free to Focus: A Total Productivity System to Achieve More by Doing Less by Michael Hyatt,https://theobjectivestandard.com/2019/06/free-to-focus-a-total-productivity-system-to-achieve-more-by-doing-less-by-michael-hyatt/,"According to Michael Hyatt, the ultimate purpose of productivity is not just to get more things done, but to get the right things done—and he shows how to do so.","Good Living, Reviews",Jonathan Townley,"June 27, 2019"
René Marie: A Voice of Independence,https://theobjectivestandard.com/2019/06/rene-marie-a-voice-of-independence/,“It is personal action that preceded every major advancement in this country. This is the aspect of being American that gives me the greatest sense of pride.” —René Marie,Arts & Culture,Timothy Sandefur,"June 27, 2019"
The Argument from Intimidation: A Confession of Intellectual Impotence,https://theobjectivestandard.com/2019/06/the-argument-from-intimidation-a-confession-of-intellectual-impotence/,"People who use this method do so because “they have no arguments, no evidence, no proof, no reason, no ground to stand on.” —Ayn Rand","Ayn Rand & Objectivism, Philosophy",Craig Biddle,"June 20, 2019"
"FEEcon 2019: Sprouting Optimism, Growing Liberty",https://theobjectivestandard.com/2019/06/feecon-2019-sprouting-optimism-growing-liberty/,"The intelligence, passion for ideas, and interest in moral foundations demonstrated by FEEcon speakers and attendees give lovers of liberty reason for optimism.","Announcements, Ayn Rand & Objectivism, History, Politics & Rights",Jon Hersey,"June 20, 2019"
TOS-Con 48-Hour Sale for Adults—Satisfaction Guaranteed!,https://theobjectivestandard.com/2019/06/tos-con-48-hour-sale-for-adults-satisfaction-guaranteed/,"Save 15% on registration to TOS-Con 2019: Philosophy for Freedom and Flourishing. Offer ends Wednesday, June 19 at 11:59 PM!",Announcements,Craig Biddle,"June 17, 2019"
Suffused with Sunlight: The Paintings of John White Alexander,https://theobjectivestandard.com/2019/06/suffused-with-sunlight-the-paintings-of-john-white-alexander/,"John White Alexander’s paintings demonstrated refined romanticism and a sense of benevolent, sunlit tranquility.",Arts & Culture,Timothy Sandefur,"June 17, 2019"
How John H. Patterson Modernized Industry,https://theobjectivestandard.com/2019/06/how-john-h-patterson-modernized-industry/,John H. Patterson showed the world what so many “greedy industrialists” are made of: an enduring will to remake the world as it could and should be—and on their own terms.,History,Jonathan Townley,"June 11, 2019"
The Green New Deal: A Plan to Sink America,https://theobjectivestandard.com/2019/06/the-green-new-deal-a-plan-to-sink-america/,"As we’ve seen over and over and over throughout history, freedom, not more unchecked government power, is the only way to dramatically increase both the quality and affordability of anything. The Green New Deal would instead entrench unchecked government power even further into American politics.",Politics & Rights,Tim White,"June 11, 2019"
Tulsa’s Art Deco Heritage,https://theobjectivestandard.com/2019/06/tulsas-art-deco-heritage/,Art deco sought to reconcile industrial mass production with the fine arts in a way that was both inspirational and elegant: to replace the stately permanence of classical architecture with a vibrancy and dynamism appropriate to the new technological age.,Arts & Culture,Timothy Sandefur,"June 11, 2019"
Scientific Morality and the Streetlight Effect,https://theobjectivestandard.com/2019/06/scientific-morality-and-the-streetlight-effect/,"Discovering a fact-based, reason-based morality requires shining the light of one’s own mind on the full scope of relevant facts and following the evidence wherever it leads.","Ayn Rand & Objectivism, Philosophy",Craig Biddle,"June 10, 2019"
A Wonderful Tribute to Carl Barney,https://theobjectivestandard.com/2019/06/a-wonderful-tribute-to-carl-barney/,The Ayn Rand Center Israel and Richard Minns recognize Carl Barney’s tremendous contributions to the Objectivist movement and the State of Israel.,"Announcements, Ayn Rand & Objectivism",Craig Biddle,"June 6, 2019"
Deriving More Joy from One of Life’s Richest Sources,https://theobjectivestandard.com/2019/06/deriving-more-joy-from-one-of-lifes-richest-sources/,"Thanks to relationship scientists, we have more tools than ever to wring ever more joy from one of life’s richest sources: romantic love.","Good Living, Science & Technology",Jon Hersey,"June 5, 2019"
"FEE’s Third Annual FEEcon, June 13–15",https://theobjectivestandard.com/2019/06/fees-third-annual-feecon-june-13-15/,"Join hundreds of students, thought leaders, and industry professionals to celebrate the power that free individuals have to transform their lives and change the world.",Announcements,Jon Hersey,"June 4, 2019"
Jerry Goldsmith’s Voice of Idealism,https://theobjectivestandard.com/2019/06/jerry-goldsmiths-voice-of-idealism/,"The “real challenge” of cinematic music, said Jerry Goldsmith, “is to write a score that works brilliantly in a film, and also has a life of its own.” For half a century, his music bested that challenge.",Arts & Culture,Timothy Sandefur,"June 4, 2019"
TOS-Con Speaker Spotlight: Robin Field,https://theobjectivestandard.com/2019/06/tos-con-speaker-spotlight-robin-field/,I didn’t realize the extent to which I had become relatively apathetic toward music—until last year when that apathy abruptly dissipated.,"Arts & Culture, Good Living",Jon Hersey,"June 4, 2019"
Dr. Ruth: Preaching the Goodness of Sex,https://theobjectivestandard.com/2019/05/dr-ruth-preaching-the-goodness-of-sex/,Dr. Ruth's career has been resolutely committed to human flourishing—a flourishing that includes emotional and sexual fulfillment.,Good Living,Timothy Sandefur,"May 30, 2019"
Socrates: Dramatizing the History of Western Thought,https://theobjectivestandard.com/2019/05/socrates-dramatizing-the-history-of-western-thought/,Tim Blake Nelson’s excellent play retells the story of one of the West’s first great philosophers—Socrates.,"Arts & Culture, History, Philosophy, Reviews",Robert Begley,"May 30, 2019"
"Joan of Arc: Heroine of France, Exemplar of Courage",https://theobjectivestandard.com/2019/05/joan-of-arc-heroine-of-france-exemplar-of-courage/,"Joan of Arc refused to live as a helpless bystander in the face of adversity. Instead, she fought for a primitive but admirable conception of freedom.","Biographies, History",Tim White,"May 30, 2019"
"Thanks to Science, Allergies Don’t Have to Keep You Down",https://theobjectivestandard.com/2019/05/thanks-to-science-allergies-dont-have-to-keep-you-down/,"Allergy medications enhance the lives of millions of people, and contrary to some “experts,” there’s nothing vain or immoral about them.",Science & Technology,Timothy Sandefur,"May 24, 2019"
"From the Editor, Summer 2019",https://theobjectivestandard.com/2019/05/from-the-editor-summer-2019/,"Reason, purpose, dual sovereignty, federalism, privatization of public lands, wine appreciation, and more—there’s something here for everyone!",Announcements,Craig Biddle,"May 21, 2019"
"Purpose Comes from Reason, Not Religion",https://theobjectivestandard.com/2019/05/purpose-comes-from-reason-not-religion/,"The moral question to ask yourself is not “How can I be a tool in the hands of God?”—but “How can I make my life the best, happiest life it can be?”","Good Living, Philosophy",Craig Biddle,"May 21, 2019"
"John Marshall: Dual Sovereignty, One Republic",https://theobjectivestandard.com/2019/05/john-marshall-dual-sovereignty-one-republic/,John Marshall patiently upheld the principle of dual sovereignty and set vital legal precedents for America in her infancy.,"History, Politics & Rights",Timothy Sandefur,"May 21, 2019"
Liberating Public Lands,https://theobjectivestandard.com/2019/05/liberating-public-lands/,"Public lands are a drain on American citizens and a barrier to the production of life-serving values. If we want to stop wasting potential resources and, instead, use them to enrich our lives, we must privatize public lands.","Philosophy, Politics & Rights",Jon Hersey,"May 21, 2019"
Leonardo Da Vinci by Walter Isaacson,https://theobjectivestandard.com/2019/05/leonardo-da-vinci-by-walter-isaacson/,Isaacson’s Leonardo Da Vinci distills this complex Renaissance man whose achievements in art and science have enriched posterity.,"Arts & Culture, Reviews, Science & Technology",Joseph Kellard,"May 10, 2019"
From Sea to Shining Sea: The Heroes and Villains of the First Transcontinental Railroad,https://theobjectivestandard.com/2019/05/from-sea-to-shining-sea-the-heroes-and-villains-of-the-first-transcontinental-railroad/,"Despite the graft of a few pseudo-businessmen, the First Transcontinental Railroad was a profoundly life-enhancing demonstration of human ingenuity.",History,Tim White,"May 10, 2019"
‘Sense Being Preferable to Sound’,https://theobjectivestandard.com/2019/05/sense-being-preferable-to-sound/,"After a town named itself in honor of Benjamin Franklin, someone suggested that he acknowledge the tribute by supplying a church bell. Franklin, a ""thorough Deist,"" proposed a different gift.",History,Jon Hersey,"May 2, 2019"
Monticello: Portrait of Its Designer,https://theobjectivestandard.com/2019/05/monticello-portrait-of-its-designer/,"Monticello, by America's first native-born architect, Thomas Jefferson, is a window into the mind of this most complex and captivating of Founders.","Arts & Culture, History",Timothy Sandefur,"May 2, 2019"
"Craig and Sarah Biddle on Parenting, at TOS-Con 2019",https://theobjectivestandard.com/2019/05/craig-and-sarah-biddle-on-parenting-at-tos-con-2019/,"We want our children to live wonderful, happy lives. How can we help them to become independent thinkers and rational decision makers so they will?","Announcements, Education & Parenting",Jon Hersey,"May 2, 2019"
John Locke and Natural Philosophy by Peter Anstey,https://theobjectivestandard.com/2019/04/john-locke-and-natural-philosophy-by-peter-anstey/,Peter Anstey reveals how John Locke’s pessimism about a science of nature began evaporating in light of Isaac Newton’s achievements.,"History, Philosophy, Reviews, Science & Technology",Jon Hersey,"April 26, 2019"
Buster Keaton’s Silence Was Golden,https://theobjectivestandard.com/2019/04/buster-keatons-silence-was-golden/,"Among the stars of silent film, Buster Keaton stands out as a uniquely inventive talent.",Arts & Culture,Timothy Sandefur,"April 26, 2019"
Salk and Sabin: The Rivalry That Killed Polio,https://theobjectivestandard.com/2019/04/salk-and-sabin-the-rivalry-that-killed-polio/,"Salk and Sabin never worked together, but their combined efforts made possible a world in which almost no one suffers from polio.","Biographies, History, Science & Technology",Tim White,"April 26, 2019"
"Win a “Think, Strive, Thrive” Scholarship to TOS-Con 2019",https://theobjectivestandard.com/2019/04/win-a-think-strive-thrive-scholarship-to-tos-con-2019/,"If you're between the ages of 18 and 29, you’re eligible to apply for a scholarship to attend TOS-Con 2019: Philosophy for Freedom and Flourishing.",Announcements,Craig Biddle,"April 23, 2019"
How Wine Appreciation Can Enrich Your Life: An Interview with Adam Edmonsond,https://theobjectivestandard.com/2019/04/how-wine-appreciation-can-enrich-your-life-an-interview-with-adam-edmonsond/,"“Like other man-made products, wine is created to serve a specific set of purposes, and facts about the wine in relation to facts about man’s body determine whether the product can fulfill its purposes, and to what degree.” —Adam Edmonsond","Arts & Culture, Good Living",Jon Hersey,"April 18, 2019"
"“Little Candle,” Bright Light: The Story of VanDamme Academy",https://theobjectivestandard.com/2019/04/little-candle-bright-light-the-story-of-vandamme-academy/,"This film shows what a proper, conceptual education looks like, and it provides parents and educators with a reason to seek or create this kind of learning environment.","Announcements, Education & Parenting",Craig Biddle,"April 18, 2019"
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress by Steven Pinker",https://theobjectivestandard.com/2019/04/enlightenment-now-the-case-for-reason-science-humanism-and-progress-by-steven-pinker/,Harvard professor Steven Pinker lays out a powerful case for cultural optimism in his book Enlightenment Now.,"Arts & Culture, History, Philosophy, Politics & Rights, Reviews",Timothy Sandefur,"April 17, 2019"
How Jamie Dimon Should Have Answered Representative Katie Porter,https://theobjectivestandard.com/2019/04/how-jamie-dimon-should-have-answered-representative-katie-porter/,"Businessmen must learn to defend themselves when they are unjustly attacked, as should anyone concerned with justice.","Economics, Politics & Rights",Michael Dahlen,"April 17, 2019"
The Morality of Capitalism: A Mind-Expanding Conference for Students,https://theobjectivestandard.com/2019/04/the-morality-of-capitalism-a-mind-expanding-conference/,"If you’re 18 to 26 years old and interested in the moral foundations of capitalism, this conference is for you. Scholarships are available, and the application deadline is May 1, 2019.",Announcements,Tim White,"April 17, 2019"
Poets of Spring and Appraisals of Man,https://theobjectivestandard.com/2019/04/poets-spring-appraisals-man/,The poets E. E. Cummings and T. S. Eliot offer contrasting views of spring—and of mankind in general. Which captures the soul of the season?,"Arts & Culture, Philosophy",Timothy Sandefur,"April 12, 2019"
John Gillis on Romantic Realism in Architecture,https://theobjectivestandard.com/2019/04/john-gillis-romantic-realism-architecture/,"""Architects can add much to human happiness if they actively adopt a design philosophy that projects a good, bright view of the world while holding a heroic view of people."" —John Gillis",Arts & Culture,Stephanie Bond,"April 11, 2019"
"Craig Biddle Speaks on ""The Morality of Self-Interest and Why You Need It"" at David Game College, London",https://theobjectivestandard.com/2019/04/morality-self-interest-craig-biddle-david-game-college/,Craig Biddle speaks to a lively and attentive group of David Game College students on the morality (and necessity) of self-interest.,Announcements,Tim White,"April 9, 2019"
Josh Umbehr on Direct Primary Care at TOS-Con 2019,https://theobjectivestandard.com/2019/04/josh-umbehr-on-direct-primary-care-at-tos-con-2019/,"If you want to stop being fleeced for medical care and, instead, step into the future of medicine, don’t miss Dr. Umbehr’s illuminating discussion.",Announcements,Jon Hersey,"April 6, 2019"
Flying Is Safer Than Eating,https://theobjectivestandard.com/2019/04/flying-is-safer-than-eating/,We owe a debt of gratitude to the countless engineers and pilots who have managed to make air travel among the safest things human beings do.,Science & Technology,Timothy Sandefur,"April 6, 2019"
Digital Minimalism: Choosing a Focused Life in a Noisy World by Cal Newport,https://theobjectivestandard.com/2019/04/digital-minimalism-choosing-a-focused-life-in-a-noisy-world-by-cal-newport/,We can all benefit from being selective when it comes to using technology.,"Good Living, Reviews",Jonathan Townley,"April 6, 2019"
"Craig Biddle to Speak in Bulgaria and UK on Self-Interest, Individualism, Government",https://theobjectivestandard.com/2019/03/craig-biddle-to-speak-in-bulgaria-and-uk-on-self-interest-individualism-government/,"Topics include the morality of self-interest, the importance of individualism, the proper role of government, and how to support and defend these truths.","Announcements, Ayn Rand & Objectivism, Philosophy, Politics & Rights",Tim White,"March 28, 2019"
The Hard-Won Wisdom of a Former Bigot,https://theobjectivestandard.com/2019/03/the-hard-won-wisdom-of-a-former-bigot/,Megan Phelps-Roper was five when her parents first put a picket sign in her hands. You don't want to know what it said.,Philosophy,Jon Hersey,"March 28, 2019"
"‘Look for Beauty, Not Ugliness’: Daniel Chester French and American Sculpture",https://theobjectivestandard.com/2019/03/look-for-beauty-not-ugliness-daniel-chester-french-and-american-sculpture/,"For Daniel Chester French, sculpting was a means of lighting the world with optimism.",Arts & Culture,Timothy Sandefur,"March 28, 2019"
Prometheus Foundation for Advancing Objectivism: Founder’s Intent,https://theobjectivestandard.com/2019/03/prometheus-foundation-for-advancing-objectivism-founders-intent/,"""I want others to have the same life-changing benefits as I have had from studying Ayn Rand and the Objectivist philosophy."" ―Carl B. Barney","Announcements, Ayn Rand & Objectivism",Craig Biddle,"March 19, 2019"
Miles Davis’s Kind of Blue at Sixty,https://theobjectivestandard.com/2019/03/miles-daviss-kind-of-blue-at-sixty/,"Kind of Blue is a landmark in the history of jazz, and even after sixty years, it still sounds fresh.",Arts & Culture,Timothy Sandefur,"March 19, 2019"
TOS-Con Will Be an Intellectual and Visual Feast!,https://theobjectivestandard.com/2019/03/tos-con-will-be-an-intellectual-and-visual-feast/,"Here’s an indication of what Bryan Larsen will discuss in his TOS-Con 2019 talk, “Optimism in the Visual Arts.”","Announcements, Arts & Culture",Jon Hersey,"March 19, 2019"
"For a Soul-Fueling Experience, Check out Quent Cordair Fine Art at TOS-Con",https://theobjectivestandard.com/2019/03/for-a-soul-fueling-experience-check-out-quent-cordair-fine-art-at-tos-con/,"Quent Cordair Fine Art will have a gallery onsite at TOS-Con 2019, and co-owner Linda Cordair will give a breakout session talk titled, “Finding Joy and Inspiration in Visual Art.”","Announcements, Arts & Culture",Jon Hersey,"March 19, 2019"
FEE’s Summer Seminars Provide Growth Opportunities for High-Schoolers,https://theobjectivestandard.com/2019/03/fees-summer-seminars-provide-growth-opportunities-for-high-schoolers/,"Here's an amazing opportunity for high-schoolers to deepen their knowledge of economics, cultivate leadership skills, and learn to think like entrepreneurs.",Announcements,Jon Hersey,"March 19, 2019"
Only 12 hours left to save 20 to 50% on TOS-Con 2019!,https://theobjectivestandard.com/2019/03/only-12-hours-left-to-save-20-to-50-on-tos-con-2019/,Early-bird discounts for TOS-Con 2019: Philosophy for Freedom and Flourishing expire at midnight tonight.,"Announcements, Good Living",Craig Biddle,"March 15, 2019"
TOS-Con Speaker Spotlight: Isaac Morehouse on Creating Your Career,https://theobjectivestandard.com/2019/03/tos-con-speaker-spotlight-isaac-morehouse-on-creating-your-career/,“‘I have to.’ Those three words are killers. People do all kinds of stuff they hate because they think they have to.” —Isaac Morehouse,"Announcements, Good Living",Jon Hersey,"March 15, 2019"
